commodity,product,exchange,size,pricetick,interval
fu,future,SHFE,10,1,1h
sc,future,INE,1000,0.1,1h
CF,future,CZCE,5,5,1h
TA,future,CZCE,5,2,1h
bu,future,SHFE,10,2,1h
T,future,CFFEX,10000,0.005,1h
TF,future,CFFEX,10000,0.005,1h
TS,future,CFFEX,20000,0.005,1h
l,future,DCE,5,5,1h
m,future,DCE,10,1,1h
p,future,DCE,10,2,1h
pp,future,DCE,5,1,1h
v,future,DCE,5,5,1h
y,future,DCE,10,2,1h
CY,future,CZCE,5,5,1h
FG,future,CZCE,20,1,1h
MA,future,CZCE,10,1,1h
RM,future,CZCE,10,1,1h
RS,future,CZCE,10,1,1h
SF,future,CZCE,5,2,1h
SM,future,CZCE,5,2,1h
eg,future,DCE,10,1,1h
jd,future,DCE,10,1,1h
i,future,DCE,100,0.5,1h
j,future,DCE,100,0.5,1h
jm,future,DCE,60,0.5,1h
ag,future,SHFE,15,1,1h
al,future,SHFE,5,5,1h
au,future,SHFE,1000,0.02,1h
cu,future,SHFE,5,10,1h
hc,future,SHFE,10,1,1h
ni,future,SHFE,1,10,1h
pb,future,SHFE,5,5,1h
SR,future,CZCE,10,1,1h
a,future,DCE,10,1,1h
AP,future,CZCE,10,1,1h
JR,future,CZCE,20,1,1h
LR,future,CZCE,20,1,1h
OI,future,CZCE,10,1,1h
PM,future,CZCE,50,1,1h
RI,future,CZCE,20,1,1h
b,future,DCE,10,1,1h
bb,future,DCE,500,0.05,1h
c,future,DCE,10,1,1h
cs,future,DCE,10,1,1h
fb,future,DCE,500,0.05,1h
WH,future,CZCE,20,1,1h
rb,future,SHFE,10,1,1h
ru,future,SHFE,10,5,1h
sn,future,SHFE,1,10,1h
sp,future,SHFE,10,2,1h
wr,future,SHFE,10,1,1h
zn,future,SHFE,5,5,1h
IC,future,CFFEX,200,0.2,1h
IF,future,CFFEX,300,0.2,1h
IH,future,CFFEX,300,0.2,1h
ZC,future,CZCE,100,0.2,1h
